x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-2.194244,-0.30099133,9.888484,23.54308816,87.29041557,78.66329193,4.288,1940,2099646
-1.6021978,-1.7914233,9.201195,23.54308816,87.29041557,78.66329193,4.288,1940,2099664
-1.8284032,1.1938517,9.90252,23.54308816,87.29041557,78.66329193,4.288,1940,2099681
-1.4215823,-1.1280925,8.959073,23.54308816,87.29041557,78.66329193,4.288,1940,2099690
-2.101881,-0.077481516,10.23494,23.54308816,87.29041557,78.66329193,4.288,1940,2099722
-1.4581751,-0.782405,8.442196,23.54308816,87.29041557,78.66329193,4.288,1940,2099731
-1.7390351,1.0645963,9.656695,23.54308816,87.29041557,78.66329193,4.288,1940,2099758
-1.9502214,-0.6840856,9.587659,23.54308816,87.29041557,78.66329193,4.288,1940,2099777
-1.8542389,-1.1774172,9.085661,23.54308816,87.29041557,78.66329193,4.288,1940,2099799
-1.7567691,1.3421239,9.833006,23.54308816,87.29041557,78.66329193,4.288,1940,2099815
-1.3423678,-1.9865263,9.123618,23.54308816,87.29041557,78.66329193,4.288,1940,2099834
-2.038605,1.3995801,10.365394,23.54308816,87.29041557,78.66329193,4.288,1940,2099841
-1.4891348,-2.746413,8.315481,23.54308816,87.29041557,78.66329193,4.288,1940,2099874
-1.8095932,2.6981285,9.847477,23.54308816,87.29041557,78.66329193,4.288,1940,2099893
-1.8095932,2.6981285,9.847477,23.54308816,87.29041557,78.66329193,4.288,1922,2099908
-1.8359643,-2.281161,9.155153,23.54308816,87.29041557,78.66329193,4.288,1922,2099915
-1.8914653,-0.045570843,9.807832,23.54308816,87.29041557,78.66329193,4.288,1922,2099916
-1.3816444,0.7417338,8.879532,23.54308816,87.29041557,78.66329193,4.288,1922,2099951
-1.642048,-1.1788964,9.415332,23.54308816,87.29041557,78.66329193,4.288,1922,2099973
-1.8943437,1.0670061,9.998817,23.54308816,87.29041557,78.66329193,4.288,1922,2099991
-1.4755226,-2.3702395,8.372365,23.54308816,87.29041557,78.66329193,4.288,1922,2100008
-1.7332656,2.9651442,10.081999,23.54308816,87.29041557,78.66329193,4.288,1922,2100031
-1.8871614,-2.6178687,8.8063755,23.54308816,87.29041557,78.66329193,4.288,1922,2100048
-2.0563946,0.6338107,9.536836,23.54308816,87.29041557,78.66329193,4.288,1922,2100065
-1.8142736,-0.25326642,9.851724,23.54308816,87.29041557,78.66329193,4.288,1922,2100080
-1.1952816,-0.8546297,9.1130495,23.54308816,87.29041557,78.66329193,4.288,1922,2100104
-1.8997017,0.7280073,10.094877,23.54308816,87.29041557,78.66329193,4.288,1922,2100143
-1.4786208,-2.0147588,8.197488,23.54308816,87.29041557,78.66329193,4.288,1922,2100160
-1.8093491,2.3983393,10.200014,23.54308816,87.29041557,78.66329193,4.288,1922,2100181
-1.9541826,-2.109125,9.047357,23.54308816,87.29041557,78.66329193,4.288,1922,2100196
-1.7529508,0.48382732,9.204461,23.54308816,87.29041557,78.66329193,4.288,1922,2100218
-1.7021209,-0.20004892,9.884052,23.54308816,87.29041557,78.66329193,4.288,1922,2100227
-1.5942581,-0.9253064,8.747124,23.54308816,87.29041557,78.66329193,4.288,1922,2100256
-2.1786268,0.23914942,10.112464,23.54308816,87.29041557,78.66329193,4.288,1922,2100268
-1.3668467,-1.0008467,8.710871,23.54308816,87.29041557,78.66329193,4.288,1922,2100296
-1.6129334,1.0836896,10.124828,23.54308816,87.29041557,78.66329193,4.288,1922,2100313
-1.6782839,-1.1998104,9.401633,23.54308816,87.29041557,78.66329193,4.288,1922,2100334
-1.3455781,0.5724513,8.40895,23.54308816,87.29041557,78.66329193,4.288,1922,2100348
-1.9171611,0.015699154,10.240759,23.54308816,87.29041557,78.66329193,4.288,1922,2100372
-1.8068213,-1.0303717,8.6672325,23.54308816,87.29041557,78.66329193,4.288,1922,2100384
-1.9249095,-0.32635486,9.642884,23.54308816,87.29041557,78.66329193,4.288,1922,2100412
-1.3691096,0.5154146,9.287758,23.54308816,87.29041557,78.66329193,4.288,1922,2100426
-1.869178,-0.2724697,9.6184,23.54308816,87.29041557,78.66329193,4.288,1922,2100449
-2.0022624,-0.6369568,9.535245,23.54308816,87.29041557,78.66329193,4.288,1922,2100463
-1.4909106,0.23349655,8.710603,23.54308816,87.29041557,78.66329193,4.288,1922,2100487
-1.5161065,-0.37903374,9.786493,23.54308816,87.29041557,78.66329193,4.288,1922,2100503
-1.6647017,-0.3949054,9.547704,23.54308816,87.29041557,78.66329193,4.288,1922,2100526
-1.6963181,-0.9424064,9.14934,23.54308816,87.29041557,78.66329193,4.288,1922,2100542
-1.5661982,1.6245137,9.428295,23.54308816,87.29041557,78.66329193,4.288,1922,2100566
-2.3367858,-1.3224915,9.784514,23.54308816,87.29041557,78.66329193,4.288,1922,2100605
-1.9895456,-0.9332937,9.040457,23.54308816,87.29041557,78.66329193,4.288,1922,2100625
-1.480427,1.1053063,9.318738,23.54308817,87.29041557,78.66329193,4.288,1922,2100640
-1.7025857,-1.0317404,9.281046,23.54308817,87.29041557,78.66329193,4.288,1922,2100648
-1.7025857,-1.0317404,9.281046,23.54308817,87.29041557,78.66329193,4.288,1939,2100671
-1.7542824,-0.2705553,9.340712,23.54308817,87.29041557,78.66329193,4.288,1939,2100687
-1.6404994,-0.4097937,9.911078,23.54308817,87.29041557,78.66329193,4.288,1939,2100700
-1.7181816,0.2602088,9.174493,23.54308817,87.29041557,78.66329193,4.288,1939,2100717
-2.152413,-0.8250912,9.631029,23.54308817,87.29041557,78.66329193,4.288,1939,2100726
-1.6414773,-0.15314233,8.950127,23.54308817,87.29041557,78.66329193,4.288,1939,2100756
-1.4956759,0.10009426,9.592455,23.54308817,87.29041557,78.66329193,4.288,1939,2100762
-1.6865481,-0.6162467,9.617964,23.54308817,87.29041557,78.66329193,4.288,1939,2100795
-1.7897323,-1.0351821,9.651787,23.54308817,87.29041557,78.66329193,4.288,1939,2100802
